Coded Value,FIRM Description,FRD Description,Applies to Database Schema
01,01,01 - Alabama,"FIRM, FRD, Discovery"
02,02,02 - Alaska,"FIRM, FRD, Discovery"
04,04,04 - Arizona,"FIRM, FRD, Discovery"
05,05,05 - Arkansas,"FIRM, FRD, Discovery"
06,06,06 - California,"FIRM, FRD, Discovery"
08,08,08 - Colorado,"FIRM, FRD, Discovery"
09,09,09 - Connecticut,"FIRM, FRD, Discovery"
10,10,10 - Delaware,"FIRM, FRD, Discovery"
11,11,11 - District of Columbia,"FIRM, FRD, Discovery"
12,12,12 - Florida,"FIRM, FRD, Discovery"
13,13,13 - Georgia,"FIRM, FRD, Discovery"
15,15,15 - Hawaii,"FIRM, FRD, Discovery"
16,16,16 - Idaho,"FIRM, FRD, Discovery"
17,17,17 - Illinois,"FIRM, FRD, Discovery"
18,18,18 - Indiana,"FIRM, FRD, Discovery"
19,19,19 - Iowa,"FIRM, FRD, Discovery"
20,20,20 - Kansas,"FIRM, FRD, Discovery"
21,21,21 - Kentucky,"FIRM, FRD, Discovery"
22,22,22 - Louisiana,"FIRM, FRD, Discovery"
23,23,23 - Maine,"FIRM, FRD, Discovery"
24,24,24 - Maryland,"FIRM, FRD, Discovery"
25,25,25 - Massachusetts,"FIRM, FRD, Discovery"
26,26,26 - Michigan,"FIRM, FRD, Discovery"
27,27,27 - Minnesota,"FIRM, FRD, Discovery"
28,28,28 - Mississippi,"FIRM, FRD, Discovery"
29,29,29 - Missouri,"FIRM, FRD, Discovery"
30,30,30 - Montana,"FIRM, FRD, Discovery"
31,31,31 - Nebraska,"FIRM, FRD, Discovery"
32,32,32 - Nevada,"FIRM, FRD, Discovery"
33,33,33 - New Hampshire,"FIRM, FRD, Discovery"
34,34,34 - New Jersey,"FIRM, FRD, Discovery"
35,35,35 - New Mexico,"FIRM, FRD, Discovery"
36,36,36 - New York,"FIRM, FRD, Discovery"
37,37,37 - North Carolina,"FIRM, FRD, Discovery"
38,38,38 - North Dakota,"FIRM, FRD, Discovery"
39,39,39 - Ohio,"FIRM, FRD, Discovery"
40,40,40 - Oklahoma,"FIRM, FRD, Discovery"
41,41,41 - Oregon,"FIRM, FRD, Discovery"
42,42,42 - Pennsylvania,"FIRM, FRD, Discovery"
44,44,44 - Rhode Island,"FIRM, FRD, Discovery"
45,45,45 - South Carolina,"FIRM, FRD, Discovery"
46,46,46 - South Dakota,"FIRM, FRD, Discovery"
47,47,47 - Tennessee,"FIRM, FRD, Discovery"
48,48,48 - Texas,"FIRM, FRD, Discovery"
49,49,49 - Utah,"FIRM, FRD, Discovery"
50,50,50 - Vermont,"FIRM, FRD, Discovery"
51,51,51 - Virginia,"FIRM, FRD, Discovery"
53,53,53 - Washington,"FIRM, FRD, Discovery"
54,54,54 - West Virginia,"FIRM, FRD, Discovery"
55,55,55 - Wisconsin,"FIRM, FRD, Discovery"
56,56,56 - Wyoming,"FIRM, FRD, Discovery"
60,60,60 - American Samoa,"FIRM, FRD, Discovery"
64,64,64 - Micronesia,"FIRM, FRD, Discovery"
66,66,66 - Guam,"FIRM, FRD, Discovery"
68,68,68 - Marshall Islands,"FIRM, FRD"
69,69,69 - Northern Mariana Islands,"FIRM, FRD"
70,70,70 - Palau,"FIRM, FRD"
72,72,72 - Puerto Rico,"FIRM, FRD"
74,74,74 â€“ U.S. Minor Islands,"FIRM, FRD"
78,78,78 - Virgin Islands,"FIRM, FRD"