Coded Value,United States Army Corps of Engineers (USACE) District,Applies to Database Schema
1001,Alaska,FIRM
1002,Albuquerque,FIRM
1003,Baltimore,FIRM
1004,Buffalo,FIRM
1005,Charleston,FIRM
1006,Chicago,FIRM
1007,Detroit,FIRM
1008,Fort Worth,FIRM
1009,Galveston,FIRM
1010,Gulf Region,FIRM
1011,Honolulu,FIRM
1012,Huntington,FIRM
1013,Jacksonville,FIRM
1014,Kansas City,FIRM
1015,Little Rock,FIRM
1016,Louisville,FIRM
1017,Los Angeles,FIRM
1018,Memphis,FIRM
1019,Mobile,FIRM
1020,Nashville,FIRM
1021,New England,FIRM
1022,New Orleans,FIRM
1023,New York,FIRM
1024,Norfolk,FIRM
1025,Omaha,FIRM
1026,Philadelphia,FIRM
1027,Pittsburgh,FIRM
1028,Portland,FIRM
1029,Rock Island,FIRM
1030,Sacramento,FIRM
1031,San Francisco,FIRM
1032,Savannah,FIRM
1033,Seattle,FIRM
1034,St. Louis,FIRM
1035,St. Paul,FIRM
1036,Tulsa,FIRM
1037,Vicksburg,FIRM
1038,Walla Walla,FIRM
1039,Wilmington,FIRM
NP,NP,FIRM